"No.","Time","Source","Destination","Protocol","Length","Data"
"1","0.000000","1.7.4","host","USB","31","0997047f"
"3","0.117646","1.7.4","host","USB","31","09970400"
"5","2.153036","1.7.4","host","USB","31","0999087f"
"7","2.200483","1.7.4","host","USB","31","09990800"
"9","3.009015","1.7.4","host","USB","31","0997067f"
"11","3.035998","1.7.4","host","USB","31","09970600"
"13","3.458124","1.7.4","host","USB","31","0999057f"
"15","3.498323","1.7.4","host","USB","31","09990500"
"17","4.116514","1.7.4","host","USB","31","0997077f"
"19","4.197436","1.7.4","host","USB","31","09970700"
"21","5.322909","1.7.4","host","USB","31","0999097f"
"23","5.377124","1.7.4","host","USB","31","09990900"
"25","6.250787","1.7.4","host","USB","31","0997027f"
"27","6.337457","1.7.4","host","USB","31","09970200"
"29","6.717626","1.7.4","host","USB","31","0999007f"
"31","6.744613","1.7.4","host","USB","31","09990000"
"33","16.552749","1.7.4","host","USB","31","0997067f"
"35","16.614685","1.7.4","host","USB","31","09970600"
"37","17.220646","1.7.4","host","USB","31","0999077f"
"39","17.247845","1.7.4","host","USB","31","09990700"
"41","17.606546","1.7.4","host","USB","31","0997077f"
"43","17.686716","1.7.4","host","USB","31","09970700"
"45","19.057985","1.7.4","host","USB","31","0999057f"
"47","19.087200","1.7.4","host","USB","31","09990500"
"49","19.443123","1.7.4","host","USB","31","0997077f"
"51","19.501595","1.7.4","host","USB","31","09970700"
"53","20.451710","1.7.4","host","USB","31","0999097f"
"55","20.508644","1.7.4","host","USB","31","09990900"
"57","25.771634","1.7.4","host","USB","31","0997077f"
"59","25.846589","1.7.4","host","USB","31","09970700"
"61","26.044651","1.7.4","host","USB","31","0999037f"
"63","26.103326","1.7.4","host","USB","31","09990300"
"65","30.426173","1.7.4","host","USB","31","0997027f"
"67","30.486103","1.7.4","host","USB","31","09970200"
"69","30.815562","1.7.4","host","USB","31","0999017f"
"71","30.865255","1.7.4","host","USB","31","09990100"
"73","31.125020","1.7.4","host","USB","31","0997027f"
"75","31.178702","1.7.4","host","USB","31","09970200"
